Time,Time Code,Country Name,Country Code,Forest area (% of land area) [AG.LND.FRST.ZS],Urban population (% of total population) [SP.URB.TOTL.IN.ZS],"Tuberculosis case detection rate (%, all forms) [SH.TBS.DTEC.ZS]",Trade (% of GDP) [NE.TRD.GNFS.ZS],Total natural resources rents (% of GDP) [NY.GDP.TOTL.RT.ZS]
2000,YR2000,Afghanistan,AFG,1.85278199408184,22.078,19,..,..
2000,YR2000,United Arab Emirates,ARE,4.35694170656153,80.236,87,..,22.3844177151254
2000,YR2000,United States,USA,33.1301735880689,79.057,87,25.1029953595813,1.11328917528516
2000,YR2000,United Kingdom,GBR,12.2101434299177,78.651,89,52.521730598718,1.05085122197897
2000,YR2000,Canada,CAN,38.7929818338782,79.478,87,82.7653578503214,4.60751758237025
2000,YR2000,Australia,AUS,17.1581557606446,84.235,87,40.9352109785505,2.73432633187857
2000,YR2000,Saudi Arabia,SAU,0.454484134921779,79.848,87,68.1664571131717,42.6687976015313
2001,YR2001,Afghanistan,AFG,1.85278199408184,22.169,27,..,..
2001,YR2001,United Arab Emirates,ARE,4.36802309208674,80.655,87,89.8645799289427,17.5963966616315
2001,YR2001,United States,USA,33.1867556145437,79.234,87,22.967181335596,0.915678454324647
2001,YR2001,United Kingdom,GBR,12.2535444136734,78.751,89,52.8216135097523,0.937004459646389
2001,YR2001,Canada,CAN,38.7876307080739,79.81,87,78.3442183943698,3.49736523473696
2001,YR2001,Australia,AUS,17.1286333519909,84.1,87,44.2187044989977,3.26407566374002
2001,YR2001,Saudi Arabia,SAU,0.454484134921779,80.077,87,63.5606120791811,34.5968576950563
2002,YR2002,Afghanistan,AFG,1.85278199408184,22.261,35,..,1.27614880703829
2002,YR2002,United Arab Emirates,ARE,4.37910447761194,81.067,87,93.0716588147781,16.2376283737788
2002,YR2002,United States,USA,33.2433376410185,79.409,87,22.2863741094897,0.689227378994075
2002,YR2002,United Kingdom,GBR,12.296945397429,79.047,89,51.3796342070387,0.81283767292158
2002,YR2002,Canada,CAN,38.7822795822695,79.888,87,75.7070320779233,2.86861445184707
2002,YR2002,Australia,AUS,17.0991109433373,84.222,87,41.4490922022193,2.91246931710995
2002,YR2002,Saudi Arabia,SAU,0.454484134921779,80.304,87,64.5927791589933,32.4379936618598
2003,YR2003,Afghanistan,AFG,1.85278199408184,22.353,32,..,0.731312589343673
2003,YR2003,United Arab Emirates,ARE,4.39018586313714,81.472,87,102.300169490783,19.2061128677808
2003,YR2003,United States,USA,33.2999196674933,79.583,87,22.6273130062789,1.0459220644239
2003,YR2003,United Kingdom,GBR,12.3403463811846,79.339,89,50.2395230519083,0.762200302418188
2003,YR2003,Canada,CAN,38.7769284564652,79.967,87,69.8400946170607,4.12923765244659
2003,YR2003,Australia,AUS,17.0695885346836,84.343,87,40.2015669125448,2.4632460832839
2003,YR2003,Saudi Arabia,SAU,0.454484134921779,80.53,87,69.8311959767982,38.0176108810544
2004,YR2004,Afghanistan,AFG,1.85278199408184,22.5,41,..,0.458919792113206
2004,YR2004,United Arab Emirates,ARE,4.40126724866235,81.871,87,116.622612523831,22.2210170035245
2004,YR2004,United States,USA,33.3565016939681,79.757,87,24.4480622643257,1.25369196394813
2004,YR2004,United Kingdom,GBR,12.3837473649403,79.629,89,50.4517112404991,0.735707508866846
2004,YR2004,Canada,CAN,38.7715773306609,80.045,87,70.1924199909562,4.43821726904446
2004,YR2004,Australia,AUS,17.04006612603,84.463,87,37.0096135930442,3.14042166653573
2004,YR2004,Saudi Arabia,SAU,0.454484134921779,80.754,87,75.0827990213386,43.622529277929
2005,YR2005,Afghanistan,AFG,1.85278199408184,22.703,47,..,0.393192771402782
2005,YR2005,United Arab Emirates,ARE,4.41234863418755,82.262,87,119.552871642254,25.3343747676468
2005,YR2005,United States,USA,33.4130837204429,79.928,87,25.6385530316517,1.49664347432686
2005,YR2005,United Kingdom,GBR,12.4271483486959,79.915,89,52.6807168405482,0.83595827885591
2005,YR2005,Canada,CAN,38.7662262048566,80.122,87,69.7591330167357,5.56481908611814
2005,YR2005,Australia,AUS,17.0105437173763,84.582,87,39.1607469727979,4.34493817515352
2005,YR2005,Saudi Arabia,SAU,0.454484134921779,80.979,87,81.9540531457672,49.9329268031463
2006,YR2006,Afghanistan,AFG,1.85278199408184,22.907,53,..,0.504174403493816
2006,YR2006,United Arab Emirates,ARE,4.42343001971276,82.648,87,119.470669577786,27.2052072035567
2006,YR2006,United States,USA,33.4696657469177,80.099,87,26.9752780973197,1.13066389011262
2006,YR2006,United Kingdom,GBR,12.4705493324515,80.199,89,56.9144274808123,0.913361392253003
2006,YR2006,Canada,CAN,38.7608750790522,80.213,87,68.0521644769988,4.0838166222725
2006,YR2006,Australia,AUS,16.9810213087226,84.7,87,41.5594471705758,5.29178471306579
2006,YR2006,Saudi Arabia,SAU,0.454484134921779,81.204,87,89.944604149645,50.7560683000309
2007,YR2007,Afghanistan,AFG,1.85278199408184,23.113,59,..,0.449500569922326
2007,YR2007,United Arab Emirates,ARE,4.43451140523796,83.023,87,136.798152865771,24.9372063571947
2007,YR2007,United States,USA,33.5262477733925,80.269,87,28.0120176822667,1.07811498701399
2007,YR2007,United Kingdom,GBR,12.5139503162072,80.479,89,52.9643534370859,0.855441736513527
2007,YR2007,Canada,CAN,38.7555239532479,80.396,87,66.2834197482347,3.90022693990303
2007,YR2007,Australia,AUS,16.951498900069,84.822,87,42.0080200326348,6.51438107527135
2007,YR2007,Saudi Arabia,SAU,0.454484134921779,81.427,87,94.8633003606104,48.4725676503893
